"npi","zip","fipscounty","drug_name","generic_name","total_day_supply","total_claim_count"
1396900700,"38024","47045",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,38453,1328
1912918491,"38382","47053",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,38298,1534
1003216623,"37404","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,38177,1278
1568894814,"37830","47001",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,37877,1268
1932129400,"37203","47037",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,37867,1270
1801907605,"37381","47143",OXYCODONE HCL,OXYCODONE HCL,37795,1284
1780011122,"37404","47065",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,37729,1276
1073520482,"38261","47131",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,37515,1255
1780044016,"37311","47011",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,37498,1259
1932279429,"37066","47165",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,37424,1255
1548234826,"37403","47065",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,37073,1238
1386751618,"38367","47109",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,36795,1455
1124151170,"37814","47063",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,36350,1237
1003216623,"37404","47065",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,36158,1210
1255670576,"38018","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,36004,1254
1417130048,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,35742,1238
1992136469,"37745","47059",OXYCODONE HCL,OXYCODONE HCL,35737,1211
1477972719,"37404","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,35655,1200
1609879527,"37128","47149",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,35611,1195
1619217106,"37128","47149",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,35006,1188
1568918878,"37373","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,34854,1169
1447608211,"37923","47093",MORPHINE SULFATE ER,MORPHINE SULFATE,34818,1164
1780678342,"37403","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,34601,1163
1821054669,"38261","47131",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,34305,1147
1235404013,"37748","47145",OXYCODONE HCL,OXYCODONE HCL,34042,1141
1659307890,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,33980,1140
1376910166,"37909","47093",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,33929,1143
1255670576,"38018","47157",OXYCODONE HCL,OXYCODONE HCL,33916,1153
1760448898,"38132","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,33897,1177
1417313834,"37660","47163",OXYCODONE HCL,OXYCODONE HCL,33841,1137
1932279429,"37066","47165",OXYCODONE HCL,OXYCODONE HCL,33709,1149
1073568218,"37748","47145",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,33555,1240
1043387624,"38120","47157",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,33391,1114
1184889115,"37620","47163",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,33179,1124
1477946143,"37404","47065",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,33093,1107
1447574249,"38320","47005",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,33061,1109
1558330241,"37821","47029",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,33056,1136
1568726289,"37387","47061",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,32950,1102
1851702906,"37830","47001",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,32947,1108
1144479098,"37355","47031",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,32619,1138
1932279429,"37066","47165",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,32559,1093
1447608211,"37923","47093",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,32444,1090
1518010537,"37404","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,32224,1079
1043387624,"38120","47157",FENTANYL,FENTANYL,32112,1074
1013916691,"37874","47123",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,32084,1097
1538428230,"37620","47163",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,31986,1093
1477678696,"37830","47001",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,31820,1072
1659382133,"37825","47025",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,31804,1098
1558797415,"37066","47165",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,31718,1063
1093800609,"37738","47155",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,31654,1211
1538414305,"37128","47149",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,31538,1064
1558797415,"37066","47165",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,31067,1042
1083763817,"37355","47031",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,31038,1046
1003902578,"37760","47089",OXYCODONE HCL,OXYCODONE HCL,31035,1097
1801907605,"37381","47143",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,31034,1049
1376910166,"37909","47093",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,31000,1042
1538428230,"37620","47163",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,30873,1036
1700273828,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,30740,1028
1689692998,"37403","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,30672,1038
1538126784,"38053","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,30610,1034
1649510090,"38120","47157",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,30373,1050
1407917982,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,30315,1019
1639172711,"37642","47073",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,30303,1028
1699162560,"37716","47001",OXYCODONE HCL,OXYCODONE HCL,30217,1012
1518010537,"37404","47065",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,29868,999
1467660910,"38320","47005",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29778,1002
1417988981,"37303","47107",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29683,1000
1932560059,"37813","47063",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,29675,1011
1477678696,"37830","47001",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29663,1002
1053374454,"37841","47151",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29606,1032
1831430560,"38305","47113",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29599,994
1063830156,"37813","47063",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29573,1002
1780665745,"37825","47025",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29477,1404
1427454099,"37075","47165",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29356,1003
1366531964,"37934","47093",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,29281,979
1932140951,"37128","47149",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,29188,982
1821054669,"38261","47131",OXYCODONE HCL,OXYCODONE HCL,29085,979
1154678449,"37087","47189",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,28968,973
1659797769,"37311","47011",OXYCODONE HCL,OXYCODONE HCL,28832,964
1790063212,"38242","47079",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,28756,972
1063470045,"37311","47011",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,28663,966
1851702906,"37830","47001",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,28543,956
1164744090,"38225","47183",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28480,951
1346563459,"37752","47025",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28471,952
1508154915,"37934","47093",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28421,966
1912929365,"38016","47157",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,28406,958
1144479098,"37355","47031",OXYCODONE HCL,OXYCODONE HCL,28398,1021
1235178971,"37221","47037",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28380,947
1568894814,"37830","47001",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28358,955
1023066057,"38008","47069",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28241,1159
1538414305,"37128","47149",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,28186,950
1417996117,"37172","47147",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28179,1193
1437130903,"38068","47047",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28134,950
1396848305,"37043","47125",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28106,946
1184619124,"37030","47159",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28087,1019
1790784106,"38237","47183",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,28042,936
1861892424,"37766","47013",OXYMORPHONE HCL ER,OXYMORPHONE HCL,28015,995
1982687885,"37660","47163",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27977,973
1598746554,"37763","47145",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27956,2408
1386622033,"37919","47093",OXYCODONE HCL,OXYCODONE HCL,27897,1060
1811957384,"37403","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27721,978
1649378464,"37398","47051",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27704,943
1750375291,"38024","47045",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27699,1058
1053396432,"37821","47029",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27644,1058
1932560059,"37813","47063",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27554,936
1295848794,"37343","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27497,937
1508899246,"37357","47177",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27497,923
1689603144,"37919","47093",OXYCODONE HCL,OXYCODONE HCL,27373,1010
1205911518,"38119","47157",METHADONE HCL,METHADONE HCL,27222,910
1063403434,"37203","47037",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27094,927
1851688865,"37203","47037",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,27017,909
1962406793,"38556","47049",MORPHINE SULFATE ER,MORPHINE SULFATE,26991,910
1659797769,"37311","47011",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26980,904
1962485870,"37660","47163",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26925,970
1609218726,"37146","47021",OXYCODONE HCL,OXYCODONE HCL,26819,1010
1588638019,"37919","47093",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26782,930
1669543492,"38372","47071",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26694,903
1184889115,"37620","47163",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,26661,909
1629012331,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26654,894
1417130048,"37421","47065",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,26625,953
1821486556,"37321","47143",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26508,887
1982942488,"37909","47093",OXYCODONE HCL,OXYCODONE HCL,26419,885
1235178971,"37221","47037",OXYCODONE HCL,OXYCODONE HCL,26302,876
1497045728,"37421","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26170,876
1912273632,"37813","47063",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26117,874
1639129323,"37760","47089",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,26017,894
1245649110,"38464","47099",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,25974,888
1629012331,"37421","47065",OXYCODONE HCL,OXYCODONE HCL,25950,867
1801878590,"38242","47079",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25890,905
1003165838,"37129","47149",OXYCODONE HCL,OXYCODONE HCL,25737,862
1235195561,"38305","47113",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25734,862
1376715136,"38501","47141",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,25671,894
1629290689,"37404","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25622,863
1720452360,"37076","47037",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,25505,854
1366531964,"37934","47093",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,25501,852
1124043120,"37604","47179",OXYCODONE HCL,OXYCODONE HCL,25487,919
1609275221,"38134","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25481,853
1124020011,"37075","47165",OXYCODONE HCL,OXYCODONE HCL,25478,872
1275588899,"38104","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25464,916
1427191725,"37752","47025",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25458,870
1437191749,"37415","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25389,855
1205149705,"38501","47141",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,25365,861
1053719682,"37203","47037",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,25362,855
1477556157,"37660","47163",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25317,866
1629012331,"37421","47065",MORPHINE SULFATE ER,MORPHINE SULFATE,25308,846
1346418183,"37087","47189",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25301,846
1932399300,"37343","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25241,846
1467744680,"37862","47155",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25194,998
1568726289,"37387","47061",MORPHINE SULFATE ER,MORPHINE SULFATE,25155,839
1063830156,"37813","47063",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,25142,854
1962497081,"38401","47119",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,25107,843
1194122531,"37760","47089",OXYCODONE HCL,OXYCODONE HCL,24984,868
1487655957,"38024","47045",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24905,1144
1932140951,"37128","47149",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24850,833
1205911518,"38119","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24841,905
1265827679,"38119","47157",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24832,840
1255670576,"38018","47157",METHADONE HCL,METHADONE HCL,24798,829
1124423777,"37813","47063",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24795,828
1245233196,"38201","47017",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24751,850
1508868969,"37920","47093",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24744,848
1124020011,"37075","47165",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24722,834
1407917982,"37421","47065",OXYCODONE HCL,OXYCODONE HCL,24713,828
1932279429,"37066","47165",MORPHINE SULFATE ER,MORPHINE SULFATE,24656,831
1649285370,"37909","47093",OXYCODONE HCL,OXYCODONE HCL,24653,821
1346440914,"37075","47165",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24647,786
1881858215,"37752","47025",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24589,854
1912957937,"37643","47019",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24584,852
1558703629,"37918","47093",OXYCODONE HCL,OXYCODONE HCL,24482,860
1053380949,"37660","47163",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24469,988
1275820599,"37660","47163",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24423,841
1306977814,"37013","47037",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,24326,832
1861451338,"37160","47003",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24273,1084
1952393688,"37923","47093",OXYCODONE HCL,OXYCODONE HCL,24254,815
1912988965,"37825","47025",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,24148,1223
1962497081,"38401","47119",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,24042,805
1932300761,"38301","47113",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23980,938
1215213863,"37421","47065",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,23950,809
1629018981,"38068","47047",OXYCODONE HCL,OXYCODONE HCL,23942,810
1790785079,"37347","47115",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23920,834
1689120644,"38468","47099",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23826,807
1609879527,"37128","47149",OXYCODONE HCL,OXYCODONE HCL,23781,796
1609275221,"38134","47157",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,23565,789
1588775894,"38024","47045",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23530,819
1821017252,"37743","47059",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23466,890
1720075633,"38225","47183",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23377,805
1780682906,"37708","47057",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23292,811
1710937701,"37813","47063",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23275,867
1659374296,"38201","47017",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23226,817
1437177441,"37403","47065",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23189,788
1013359538,"38201","47017",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23175,774
1083763817,"37355","47031",OXYCODONE-ACETAMINOPHEN,OXYCODONE HCL/ACETAMINOPHEN,23151,778
1962656140,"37311","47011",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,23132,853
1922199330,"38261","47131",OXYCODONE HCL,OXYCODONE HCL,23090,822
1750578878,"37916","47093",OPANA ER,OXYMORPHONE HCL,23035,811
1568726289,"37387","47061",OXYCODONE HCL,OXYCODONE HCL,22986,784
1619217106,"37128","47149",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,22944,776
1134124902,"38478","47055",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,22913,800
1174501597,"38485","47181",HYDROCODONE-ACETAMINOPHEN,HYDROCODONE/ACETAMINOPHEN,22840,840
